pred:no_relation,pred:org:alternate_names,pred:org:city_of_headquarters,pred:org:country_of_headquarters,pred:org:dissolved,pred:org:founded,pred:org:founded_by,pred:org:member_of,pred:org:members,pred:org:number_of_employees/members,pred:org:parents,pred:org:political/religious_affiliation,pred:org:shareholders,pred:org:stateorprovince_of_headquarters,pred:org:subsidiaries,pred:org:top_members/employees,pred:org:website,pred:per:age,pred:per:alternate_names,pred:per:cause_of_death,pred:per:charges,pred:per:children,pred:per:cities_of_residence,pred:per:city_of_birth,pred:per:city_of_death,pred:per:countries_of_residence,pred:per:country_of_birth,pred:per:country_of_death,pred:per:date_of_birth,pred:per:date_of_death,pred:per:employee_of,pred:per:origin,pred:per:other_family,pred:per:parents,pred:per:religion,pred:per:schools_attended,pred:per:siblings,pred:per:spouse,pred:per:stateorprovince_of_birth,pred:per:stateorprovince_of_death,pred:per:stateorprovinces_of_residence,pred:per:title,
0,-8,0,0,0,0,0,2,-1,0,0,0,0,-4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:stateorprovince_of_headquarters
-10,-2,2,6,0,0,0,-1,-2,0,-1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:subsidiaries
-3,0,0,0,0,0,7,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,-1,true:org:top_members/employees
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:website
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,true:per:age
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,2,3,0,-3,0,true:per:alternate_names
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,2,0,6,0,0,0,0,0,-1,-1,0,1,0,0,0,0,-2,-1,2,0,-3,-1,true:per:cause_of_death
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,-2,-1,-1,-3,1,true:per:charges
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-4,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,0,-3,0,true:per:children
-3,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-1,0,3,7,3,-2,0,0,0,0,0,0,0,1,0,0,0,-3,0,0,0,-1,true:per:cities_of_residence
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:per:city_of_birth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,true:per:city_of_death
-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,1,1,2,0,0,-9,1,0,0,0,1,15,-1,0,0,0,0,0,0,0,-2,-1,true:per:countries_of_residence
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,true:per:country_of_birth
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,7,0,-1,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,true:per:country_of_death
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,true:per:date_of_birth
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,-2,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,-1,true:per:date_of_death
0,0,0,0,0,0,-4,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-14,2,0,0,0,-3,0,0,0,0,-1,0,true:per:employee_of
-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,0,-29,0,0,0,0,0,37,0,0,0,0,0,0,0,0,-1,0,true:per:origin
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,0,3,1,0,0,0,0,0,0,-1,0,0,-4,-1,0,0,1,-1,1,0,0,-1,true:per:other_family
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,1,-3,0,0,0,0,2,0,-2,0,true:per:parents
-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,true:per:religion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-2,0,0,0,0,0,0,true:per:schools_attended
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,2,1,1,-1,0,true:per:siblings
-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,2,0,0,0,0,0,0,0,0,0,2,6,0,0,-7,-1,4,0,0,-3,true:per:spouse
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,true:per:stateorprovince_of_birth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,true:per:stateorprovince_of_death
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,-2,0,1,0,0,0,0,0,0,-1,1,2,0,-2,-2,0,1,0,-2,-1,true:per:stateorprovinces_of_residence
-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,1,1,0,0,-2,10,true:per:title
