                                          pred:per:other_family  pred:org:members  pred:org:parents  pred:per:cause_of_death  pred:org:dissolved  pred:org:website  pred:org:number_of_employees/members  pred:org:alternate_names  pred:per:alternate_names  pred:org:political/religious_affiliation  pred:org:founded  pred:per:country_of_birth  pred:org:member_of  pred:per:origin  pred:per:religion  pred:per:stateorprovince_of_death  pred:org:founded_by  pred:org:shareholders  pred:org:top_members/employees  pred:per:parents  pred:per:stateorprovinces_of_residence  pred:per:children  pred:per:date_of_death  pred:per:date_of_birth  pred:per:siblings  pred:org:city_of_headquarters  pred:per:schools_attended  pred:per:stateorprovince_of_birth  pred:no_relation  pred:per:cities_of_residence  pred:per:charges  pred:per:city_of_birth  pred:per:city_of_death  pred:per:spouse  pred:per:title  pred:per:countries_of_residence  pred:per:employee_of  pred:org:stateorprovince_of_headquarters  pred:org:subsidiaries  pred:per:age  pred:per:country_of_death  pred:org:country_of_headquarters
true:org:founded                                              0                 0                 2                        0                   1                 0                                     0                         0                         0                                         0                22                          0                   2                0                  0                                  0                    0                      0                               0                 0                                       0                  0                       0                       0                  0                              1                          0                                  0                10                             0                 0                       0                       0                0               0                                0                     0                                         0                      0             0                          0                                 0
true:per:country_of_birth                                     0                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          5                   0                2                  0                                  0                    0                      0                               0                 1                                       1                  1                       0                       0                  0                              0                          1                                  0                 0                             1                 0                       0                       0                0               1                                6                     0                                         0                      0             1                          0                                 0
true:org:member_of                                            0                 0                 6                        0                   0                 0                                     1                         4                         0                                         1                 1                          0                   1                0                  0                                  0                    0                      1                               0                 0                                       0                  0                       0                       0                  0                              1                          0                                  0                 3                             0                 0                       0                       0                0               0                                0                     0                                         2                      7             0                          0                                 3
true:per:origin                                               0                 0                 0                        0                   0                 0                                     0                         0                         1                                         0                 0                          2                   0              126                  0                                  0                    0                      1                               1                 0                                       1                  0                       0                       0                  1                              0                          0                                  0                13                             2                 1                       2                       0                0               5                               49                     5                                         0                      0             0                          0                                 0
true:per:religion                                             0                 0                 0                        0                   0                 0                                     0                         0                         1                                         0                 0                          0                   0                0                 26                                  0                    1                      0                               1                 1                                       0                  0                       1                       0                  0                              0                          0                                  0                 1                            13                 0                       2                       1                0               3                                2                     0                                         0                      0             0                          0                                 0
true:per:stateorprovince_of_death                             0                 0                 0                        8                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                0                  0                                  3                    0                      0                               3                 3                                       1                  0                       5                       1                  0                              0                          1                                  0                 0                             3                 0                       0                       4                0               4                                2                     1                                         0                      0             2                          0                                 0
true:org:founded_by                                           2                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          0                   1                0                  0                                  0                   10                      7                               8                 0                                       0                  0                       0                       0                  0                              0                          5                                  0                 0                             0                 0                       0                       0                0               0                                0                    43                                         0                      0             0                          0                                 0
true:org:shareholders                                         0                 0                 3                        0                   0                 0                                     1                         3                         0                                         0                 0                          0                   0                0                  0                                  0                    4                     10                              11                 0                                       0                  0                       0                       0                  0                              1                          0                                  0                 1                             1                 0                       0                       0                0               0                                0                    12                                         0                      6             0                          0                                 2
true:org:top_members/employees                                0                 0                 0                        0                   0                 0                                     0                         0                         2                                         0                 0                          0                   0                0                  0                                  0                   19                     25                             314                 0                                       0                  0                       0                       0                  0                              0                          1                                  0                 4                             1                 0                       0                       0                0               4                                1                   162                                         0                      1             0                          0                                 0
true:per:parents                                              1                 0                 0                        4                   0                 0                                     0                         0                         1                                         0                 0                          0                   0                0                  0                                  1                    0                      0                               1                16                                       0                  9                       1                       1                  4                              0                          0                                  3                 3                             2                 0                       0                       0                3               2                                2                     2                                         0                      0             0                          0                                 0
true:per:stateorprovinces_of_residence                        2                 0                 0                        2                   0                 0                                     0                         0                         5                                         0                 0                          0                   0                0                  0                                  3                    0                      0                               4                 2                                      17                  1                       0                       0                  1                              0                          1                                  4                 3                             7                 3                       0                       2                5               7                                2                     1                                         0                      0             0                          0                                 0
true:per:children                                             6                 0                 0                        2                   0                 0                                     0                         0                         5                                         0                 0                          3                   0                0                  0                                  1                    1                      0                               0                14                                       2                 27                       7                       2                 10                              0                          0                                  1                 1                             2                 0                       0                       0                7               3                                4                     1                                         0                      0             0                          0                                 0
true:per:date_of_death                                        2                 0                 0                        8                   0                 0                                     0                         0                         1                                         0                 0                          0                   0                0                  0                                  4                    0                      1                               5                 1                                       1                  1                     116                      15                  2                              0                          0                                  0                 8                            10                 1                       0                       4                0              10                                7                     6                                         0                      0             3                          0                                 0
true:per:date_of_birth                                        0                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                0                  0                                  0                    0                      0                               1                 3                                       0                  0                       2                      24                  0                              0                          0                                  0                 0                             0                 0                       0                       0                0               1                                0                     0                                         0                      0             0                          0                                 0
true:per:siblings                                             1                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                0                  0                                  1                    0                      0                               0                 3                                       1                  6                       0                       0                  6                              0                          0                                  3                 1                             0                 0                       0                       0                3               4                                1                     0                                         0                      0             0                          0                                 0
true:org:city_of_headquarters                                 0                 0                 2                        0                   0                 0                                     1                         2                         0                                         0                 0                          0                   2                0                  0                                  0                    0                      1                               0                 0                                       0                  0                       0                       0                  0                             82                          0                                  0                10                             0                 0                       0                       0                0               0                                0                     0                                         0                      3             0                          0                                 6
true:per:schools_attended                                     0                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                0                  0                                  0                    0                      0                               8                 0                                       0                  0                       0                       0                  0                              0                         22                                  0                 1                             0                 0                       0                       0                1               0                                0                    18                                         0                      0             0                          0                                 0
true:per:stateorprovince_of_birth                             0                 0                 0                        1                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                0                  1                                  1                    0                      0                               0                 0                                       4                  0                       0                       0                  0                              0                          0                                 15                 0                             0                 1                       2                       0                0               0                                0                     1                                         0                      0             0                          0                                 0
true:no_relation                                            348               181               628                      171                 124                41                                   326                       547                       490                                        66               431                         22                 237              281                 59                                 85                  118                    192                            1329               228                                     440                178                     489                     161                316                            378                        102                                163              1713                           649               177                      15                     140              343            1667                              829                  1681                                       152                    428           634                          4                               632
true:per:cities_of_residence                                  1                 0                 0                        2                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                5                  0                                  2                    1                      0                               5                 2                                       7                  1                       6                       0                  2                              0                          2                                  2                 4                            93                 2                      12                      11                1               8                                2                     5                                         0                      0             3                          0                                 0
true:per:charges                                              3                 0                 0                        3                   0                 0                                     0                         0                         2                                         0                 0                          0                   0                4                  1                                  0                    0                      0                               4                 5                                       8                  4                       2                       0                  3                              0                          0                                  0                11                             3                31                       0                       0                2               7                                8                     1                                         0                      0             3                          0                                 0
true:per:city_of_birth                                        0                 0                 0                        0                   0                 0                                     0                         0                         0                                         0                 0                          1                   0                0                  0                                  0                    0                      0                               0                 0                                       0                  0                       0                       0                  0                              0                          1                                  2                 1                            10                 0                      15                       2                0               0                                0                     0                                         0                      0             1                          0                                 0
true:per:city_of_death                                        2                 0                 0                       15                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                1                  1                                  7                    0                      0                               2                 0                                       1                  2                       9                       1                  0                              0                          1                                  0                 1                            25                 0                       1                      19                1              15                                0                     7                                         0                      0             7                          0                                 0
true:per:spouse                                               4                 0                 0                        2                   0                 0                                     0                         0                         1                                         0                 0                          0                   0                0                  0                                  1                    0                      0                               3                 9                                       5                  6                       3                       1                  5                              0                          1                                  4                 5                             9                 3                       0                       0               77               3                                6                     8                                         0                      0             3                          0                                 0
true:per:title                                                4                 0                 0                        1                   0                 0                                     0                         0                         1                                         0                 0                          0                   1                4                  1                                  1                    1                      1                              18                 0                                       1                  2                       3                       0                  7                              0                          0                                  0                13                             5                 1                       0                       4                5             821                                7                    10                                         0                      0             7                          0                                 0
true:per:countries_of_residence                               0                 0                 0                        1                   0                 0                                     0                         0                         3                                         0                 0                          5                   0               33                  1                                  0                    3                      0                               7                 0                                       7                  4                       3                       1                  1                              0                          1                                  0                 7                            11                 3                       0                       2                1              15                              105                     8                                         0                      0             4                          0                                 0
true:per:employee_of                                          0                 0                 0                        0                   0                 0                                     0                         1                         3                                         0                 0                          0                   0                2                  0                                  0                    3                      6                             153                 0                                       2                  0                       0                       0                  0                              0                         14                                  0                10                             0                 0                       0                       1                0               4                                3                   171                                         0                      0             2                          0                                 0
true:org:stateorprovince_of_headquarters                      0                 2                 1                        0                   0                 0                                     1                         1                         0                                         0                 0                          0                   6                0                  0                                  0                    0                      0                               0                 0                                       0                  0                       0                       0                  0                              1                          0                                  0                 2                             0                 0                       0                       0                0               0                                0                     1                                        34                     18             0                          0                                 3
true:org:subsidiaries                                         0                 1                13                        0                   0                 0                                     1                         8                         0                                         0                 0                          0                   4                0                  0                                  0                    0                      1                               0                 0                                       0                  0                       0                       0                  0                              6                          0                                  0                27                             0                 0                       0                       0                0               0                                0                     0                                         5                     39             0                          0                                 8
true:per:age                                                  0                 0                 0                        5                   0                 0                                     0                         0                         0                                         1                 0                          0                   1                2                  0                                  1                    0                      0                               3                 0                                       0                  1                       3                       0                  1                              0                          0                                  0                 4                             5                 0                       0                       6                1               5                                2                     5                                         0                      0           197                          0                                 0
true:per:country_of_death                                     1                 0                 0                        7                   0                 0                                     0                         0                         0                                         0                 0                          0                   0                2                  0                                  2                    0                      0                               0                 0                                       0                  1                       2                       0                  0                              0                          0                                  0                 0                             9                 0                       0                       1                1               2                                8                     9                                         0                      0             1                          0                                 0
true:org:country_of_headquarters                              0                 4                 9                        0                   0                 0                                     0                         7                         0                                         1                 1                          0                  10                0                  0                                  0                    0                      1                               2                 0                                       0                  0                       0                       0                  0                             10                          1                                  0                36                             1                 0                       0                       0                0               0                                1                     2                                         2                      4             0                          0                                85
